latitude,longitude,label,info
-33.653864444444444,151.15163555555554,9,9
-33.596806666666666,146.40754666666666,3,3
-35.415900000000001,149.92561499999999,2,2
-29.438335000000002,151.79002499999999,10,10
-24.853883333333332,135.57685333333333,6,6
-42.368291999999997,146.783638,5,5
-37.826098333333334,144.64668166666669,6,6
-8.7504239999999989,144.848108,5,5
-3.3206900000000004,163.08903999999998,3,3
-34.978717500000002,138.91038125,8,8
-11.7932425,128.78862500000002,4,4
-73.142915000000002,100.266665,2,2
-22.118996666666664,120.16367666666667,3,3
-19.793692,147.15214399999999,5,5
-32.373498750000003,117.03275250000002,8,8
